datetime,PM25_UG_PER_CUBIC_METER,TEMPERATURE_CELSIUS,WIND_SPEED_METERS_PER_SECOND,OZONE_PPM,NO2_PPB,CO_PPM,SO2_PPB
2019-01-01,9.55,6.601852,1.434014,0.034,13.3572465,0.4524455,0.454167
2019-01-02,9.55,6.601852,1.434014,0.034,13.3572465,0.4524455,0.454167
2019-01-03,8.316666666666666,10.549383,1.4215816000000001,0.02816666666666667,25.789709666666667,0.6233585,0.4375
2019-01-04,12.6,8.606482,2.04063,0.0205,27.7395835,0.75625,0.6125
2019-01-05,13.85,8.2511575,2.347153,0.0275,20.1083335,0.6479165,0.429167
2019-01-06,5.233333333333333,10.870756499999999,1.2633898,0.038,8.481944499999999,0.2951388333333333,0.05416699999999999
2019-01-07,3.9,11.880787000000002,2.239977,0.028000000000000004,12.075,0.38958349999999997,0.11666700000000002
2019-01-08,6.85,11.9687505,2.257125,0.025500000000000002,19.6308335,0.551488,0.2625
2019-01-09,14.366666666666667,13.480710666666667,1.1364221666666665,0.024666666666666667,23.702083166666668,0.7402778333333333,0.391667
2019-01-10,14.2,13.270834,1.652653,0.021,21.691667,0.6875,0.266667
2019-01-11,7.2,7.458333,1.5333279526563237,0.024,18.295652,0.530435,0.43133266328927133
2019-01-12,6.014285714285714,11.110450571428572,1.3890001666666667,0.03157142857142857,11.333359285714286,0.373913,0.11666700000000002
2019-01-13,5.6,9.760417,1.556195,0.0335,12.825725,0.4144925,0.133333
2019-01-14,3.75,8.787038,3.781167,0.024,12.203623,0.290127,0.08333299999999999
2019-01-15,4.242857142857143,10.86871742857143,1.9109468333333333,0.031,11.998162428571428,0.34450483333333337,0.03333300000000003
2019-01-16,1.9500000000000002,12.6921295,2.488625,0.026500000000000003,10.645199,0.31096,0.04166700000000001
2019-01-17,5.1,15.381945,2.201394,0.022,13.375,0.295833,0.016666999999999987
2019-01-18,9.283333333333333,13.736497166666666,0.8655526,0.028333333333333335,14.666287833333334,0.4339646666666666,0.32090105824337023
2019-01-19,6.699999999999999,13.877315,2.017051,0.0325,16.4207425,0.478895,0.1375
2019-01-20,4.55,14.179397000000002,2.066352,0.03,12.914221,0.3561595,0.11249999999999999
2019-01-21,2.1142857142857143,12.586640571428571,2.6929741666666662,0.04114285714285714,5.102924428571429,0.21648557142857142,0.004166999999999976
2019-01-22,6.2,14.344907,1.832708,0.023,23.275,0.55,0.366667
2019-01-23,6.6,10.233797,2.186389,0.026000000000000002,24.455237,0.6087940000000001,0.366667
2019-01-24,7.333333333333333,14.8163585,1.4241536,0.029166666666666664,24.8205315,0.6747885,0.420833
2019-01-25,5.2,8.530093,1.5333279526563237,0.035,19.034783,0.486957,0.45382239397511426
2019-01-26,6.550000000000001,13.9849535,1.794125,0.033,23.0171195,0.5590579999999999,1.3791669999999998
2019-01-27,9.128571428571428,16.626653714285712,1.201085,0.04028571428571428,20.136205999999998,0.6399068571428571,0.675
2019-01-28,14.55,14.136574,1.757685,0.0215,30.374275,0.7399455,1.05
2019-01-29,19.2,15.8090275,1.378283,0.0285,24.554347500000002,0.6992750000000001,0.970833
2019-01-30,18.67142857142857,14.388558285714286,0.7870284999999999,0.02914285714285714,21.6375,0.5321428571428571,0.291667
2019-01-31,16.3,13.652779,2.171384,0.018,21.325,0.491667,0.147619
2019-02-01,7.0,13.361111,1.708384,0.027,19.416667,0.38749999999999996,0.179167
2019-02-02,4.633333333333334,11.626543499999999,2.1195114,0.035166666666666666,8.864734333333333,0.2649636,0.025000000000000022
2019-02-03,2.5,10.693287999999999,1.839139,0.035500000000000004,6.2288045,0.181703,0.037500000000000006
2019-02-04,2.1,10.4224535,1.922736,0.038,8.917262000000001,0.1791665,0.05416699999999999
2019-02-05,2.6333333333333333,9.564814833333333,1.7744761666666669,0.03833333333333333,9.489251166666667,0.25625016666666667,0.00833299999999998
2019-02-06,1.7000000000000002,6.54051,3.369611,0.037000000000000005,6.4490035,0.181612,0.045832999999999985
2019-02-07,6.05,6.9004635,2.35787,0.0325,21.390398500000003,0.3958335,0.204167
2019-02-08,8.985714285714286,9.540013714285715,1.5622678333333333,0.037571428571428575,21.284808571428574,0.4955227142857143,0.3
2019-02-09,4.6,9.0081015,2.186389,0.039999999999999994,9.274366,0.278714,0.125
2019-02-10,1.8,7.9131945,2.793005,0.0395,5.407337,0.215942,0.091667
2019-02-11,5.328571428571428,8.925596285714287,1.5001056666666666,0.03885714285714286,17.12919257142857,0.3997927142857143,0.1875
2019-02-12,7.95,9.087963,2.231403,0.033,25.015942,0.5101450000000001,0.25
2019-02-13,6.4,9.784723,2.943051,0.032,20.3625,0.38831499999999997,0.158333
2019-02-14,3.6142857142857143,13.04596542857143,2.1978208333333336,0.034428571428571426,9.600275142857143,0.2619517142857143,0.0
2019-02-15,3.35,9.913195,1.824134,0.037000000000000005,8.8602355,0.301721,0.07083299999999998
2019-02-16,1.65,8.9108795,3.063088,0.0395,3.903261,0.21204699999999999,0.0
2019-02-17,2.814285714285714,8.622685,2.0331276666666667,0.04014285714285715,5.553597428571429,0.250595,0.004166999999999976
2019-02-18,1.75,6.8240755,1.909875,0.038,6.669565,0.24356850000000002,0.04999999999999996
2019-02-19,3.4,3.983797,1.5333279526563237,0.042,10.043478,0.25652200000000003,0.18024162417345171
2019-02-20,6.8999999999999995,7.899050285714286,1.5872753333333334,0.03428571428571429,16.23566257142857,0.3947981428571429,0.09090900000000002
2019-02-21,3.25,6.0300934999999996,2.036343,0.036000000000000004,11.2214675,0.304348,-0.004545000000000021
